run,modelname,treatname,angle,spd,t,channel,value
20120521164435,noisefloor,no,0,0,23.3125,V,-0.01
20120521164435,noisefloor,no,0,0,23.34375,V,-0.01
20120521164435,noisefloor,no,0,0,23.375,V,-0.01
20120521164435,noisefloor,no,0,0,23.40625,V,-0.01
20120521164435,noisefloor,no,0,0,23.4375,V,-0.01
20120521164435,noisefloor,no,0,0,23.46875,V,-0.01
20120521164435,noisefloor,no,0,0,23.5,V,-0.01
20120521164435,noisefloor,no,0,0,23.53125,V,-0.01
20120521164435,noisefloor,no,0,0,23.5625,V,-0.01
20120521164435,noisefloor,no,0,0,23.59375,V,-0.01
20120521164435,noisefloor,no,0,0,23.625,V,-0.01
20120521164435,noisefloor,no,0,0,23.65625,V,-0.01
20120521164435,noisefloor,no,0,0,23.6875,V,-0.01
20120521164435,noisefloor,no,0,0,23.71875,V,-0.01
20120521164435,noisefloor,no,0,0,23.75,V,-0.01
20120521164435,noisefloor,no,0,0,23.78125,V,-0.01
20120521164435,noisefloor,no,0,0,23.8125,V,-0.01
20120521164435,noisefloor,no,0,0,23.84375,V,-0.01
20120521164435,noisefloor,no,0,0,23.875,V,-0.01
20120521164435,noisefloor,no,0,0,23.90625,V,-0.01
20120521164435,noisefloor,no,0,0,23.9375,V,-0.01
20120521164435,noisefloor,no,0,0,23.96875,V,-0.01
20120521164435,noisefloor,no,0,0,24.0,V,-0.01
20120521164435,noisefloor,no,0,0,24.03125,V,-0.01
20120521164435,noisefloor,no,0,0,24.0625,V,-0.01
20120521164435,noisefloor,no,0,0,24.09375,V,-0.01
20120521164435,noisefloor,no,0,0,24.125,V,-0.01
20120521164435,noisefloor,no,0,0,24.15625,V,-0.01
20120521164435,noisefloor,no,0,0,24.1875,V,-0.01
20120521164435,noisefloor,no,0,0,24.21875,V,-0.01
20120521164435,noisefloor,no,0,0,24.25,V,-0.01
20120521164435,noisefloor,no,0,0,24.28125,V,-0.01
20120521164435,noisefloor,no,0,0,24.3125,V,-0.01
20120521164435,noisefloor,no,0,0,24.34375,V,-0.01
20120521164435,noisefloor,no,0,0,24.375,V,-0.01
20120521164435,noisefloor,no,0,0,24.40625,V,-0.01
20120521164435,noisefloor,no,0,0,24.4375,V,-0.01
20120521164435,noisefloor,no,0,0,24.46875,V,-0.01
20120521164435,noisefloor,no,0,0,24.5,V,-0.01
20120521164435,noisefloor,no,0,0,24.53125,V,-0.01
20120521164435,noisefloor,no,0,0,24.5625,V,-0.01
20120521164435,noisefloor,no,0,0,24.59375,V,-0.01
20120521164435,noisefloor,no,0,0,24.625,V,-0.01
20120521164435,noisefloor,no,0,0,24.65625,V,-0.01
20120521164435,noisefloor,no,0,0,24.6875,V,-0.01
20120521164435,noisefloor,no,0,0,24.71875,V,-0.01
20120521164435,noisefloor,no,0,0,24.75,V,-0.01
20120521164435,noisefloor,no,0,0,24.78125,V,-0.01
20120521164435,noisefloor,no,0,0,24.8125,V,-0.01
20120521164435,noisefloor,no,0,0,24.84375,V,-0.01
20120521164435,noisefloor,no,0,0,24.875,V,-0.01
20120521164435,noisefloor,no,0,0,24.90625,V,-0.01
20120521164435,noisefloor,no,0,0,24.9375,V,-0.01
20120521164435,noisefloor,no,0,0,24.96875,V,-0.01
20120521164435,noisefloor,no,0,0,25.0,V,-0.01
20120521164435,noisefloor,no,0,0,25.03125,V,-0.01
20120521164435,noisefloor,no,0,0,25.0625,V,-0.01
20120521164435,noisefloor,no,0,0,25.09375,V,-0.01
20120521164435,noisefloor,no,0,0,25.125,V,-0.01
20120521164435,noisefloor,no,0,0,25.15625,V,-0.01
20120521164435,noisefloor,no,0,0,25.1875,V,-0.01
20120521164435,noisefloor,no,0,0,25.21875,V,-0.01
20120521164435,noisefloor,no,0,0,25.25,V,-0.01
20120521164435,noisefloor,no,0,0,25.28125,V,-0.01
20120521164435,noisefloor,no,0,0,25.3125,V,-0.01
20120521164435,noisefloor,no,0,0,25.34375,V,-0.01
20120521164435,noisefloor,no,0,0,25.375,V,-0.01
20120521164435,noisefloor,no,0,0,25.40625,V,-0.01
20120521164435,noisefloor,no,0,0,25.4375,V,-0.01
20120521164435,noisefloor,no,0,0,25.46875,V,-0.01
20120521164435,noisefloor,no,0,0,25.5,V,-0.01
20120521164435,noisefloor,no,0,0,25.53125,V,-0.01
20120521164435,noisefloor,no,0,0,25.5625,V,-0.01
20120521164435,noisefloor,no,0,0,25.59375,V,-0.01
20120521164435,noisefloor,no,0,0,25.625,V,-0.01
20120521164435,noisefloor,no,0,0,25.65625,V,-0.01
20120521164435,noisefloor,no,0,0,25.6875,V,-0.01
20120521164435,noisefloor,no,0,0,25.71875,V,-0.01
20120521164435,noisefloor,no,0,0,25.75,V,-0.01
20120521164435,noisefloor,no,0,0,25.78125,V,-0.01
20120521164435,noisefloor,no,0,0,25.8125,V,-0.01
20120521164435,noisefloor,no,0,0,25.84375,V,-0.01
20120521164435,noisefloor,no,0,0,25.875,V,-0.01
20120521164435,noisefloor,no,0,0,25.90625,V,-0.01
20120521164435,noisefloor,no,0,0,25.9375,V,-0.01
20120521164435,noisefloor,no,0,0,25.96875,V,-0.01
20120521164435,noisefloor,no,0,0,26.0,V,-0.01
20120521164435,noisefloor,no,0,0,26.03125,V,-0.01
20120521164435,noisefloor,no,0,0,26.0625,V,-0.01
20120521164435,noisefloor,no,0,0,26.09375,V,-0.01
20120521164435,noisefloor,no,0,0,26.125,V,-0.01
20120521164435,noisefloor,no,0,0,26.15625,V,-0.01
20120521164435,noisefloor,no,0,0,26.1875,V,-0.01
20120521164435,noisefloor,no,0,0,26.21875,V,-0.01
20120521164435,noisefloor,no,0,0,26.25,V,-0.01
20120521164435,noisefloor,no,0,0,26.28125,V,-0.01
20120521164435,noisefloor,no,0,0,26.3125,V,-0.01
20120521164435,noisefloor,no,0,0,26.34375,V,-0.01
20120521164435,noisefloor,no,0,0,26.375,V,-0.01
20120521164435,noisefloor,no,0,0,26.40625,V,-0.01
20120521164435,noisefloor,no,0,0,26.4375,V,-0.01
20120521164435,noisefloor,no,0,0,26.46875,V,-0.01
20120521164435,noisefloor,no,0,0,26.5,V,-0.01
20120521164435,noisefloor,no,0,0,26.53125,V,-0.01
20120521164435,noisefloor,no,0,0,26.5625,V,-0.01
20120521164435,noisefloor,no,0,0,26.59375,V,-0.01
20120521164435,noisefloor,no,0,0,26.625,V,-0.01
20120521164435,noisefloor,no,0,0,26.65625,V,-0.01
20120521164435,noisefloor,no,0,0,26.6875,V,-0.01
20120521164435,noisefloor,no,0,0,26.71875,V,-0.01
20120521164435,noisefloor,no,0,0,26.75,V,-0.01
20120521164435,noisefloor,no,0,0,26.78125,V,-0.01
20120521164435,noisefloor,no,0,0,26.8125,V,-0.01
20120521164435,noisefloor,no,0,0,26.84375,V,-0.01
20120521164435,noisefloor,no,0,0,26.875,V,-0.01
20120521164435,noisefloor,no,0,0,26.90625,V,-0.01
20120521164435,noisefloor,no,0,0,26.9375,V,-0.01
20120521164435,noisefloor,no,0,0,26.96875,V,-0.01
20120521164435,noisefloor,no,0,0,27.0,V,-0.01
20120521164435,noisefloor,no,0,0,27.03125,V,-0.01
20120521164435,noisefloor,no,0,0,27.0625,V,-0.01
20120521164435,noisefloor,no,0,0,27.09375,V,-0.01
20120521164435,noisefloor,no,0,0,27.125,V,-0.01
20120521164435,noisefloor,no,0,0,27.15625,V,-0.01
20120521164435,noisefloor,no,0,0,27.1875,V,-0.01
20120521164435,noisefloor,no,0,0,27.21875,V,-0.01
20120521164435,noisefloor,no,0,0,27.25,V,-0.01
20120521164435,noisefloor,no,0,0,27.28125,V,-0.01
20120521164435,noisefloor,no,0,0,27.3125,V,-0.01
20120521164435,noisefloor,no,0,0,27.34375,V,-0.01
20120521164435,noisefloor,no,0,0,27.375,V,-0.01
20120521164435,noisefloor,no,0,0,27.40625,V,-0.01
20120521164435,noisefloor,no,0,0,27.4375,V,-0.01
20120521164435,noisefloor,no,0,0,27.46875,V,-0.01
20120521164435,noisefloor,no,0,0,27.5,V,-0.01
20120521164435,noisefloor,no,0,0,27.53125,V,-0.01
20120521164435,noisefloor,no,0,0,27.5625,V,-0.01
20120521164435,noisefloor,no,0,0,27.59375,V,-0.01
20120521164435,noisefloor,no,0,0,27.625,V,-0.01
20120521164435,noisefloor,no,0,0,27.65625,V,-0.01
20120521164435,noisefloor,no,0,0,27.6875,V,-0.01
20120521164435,noisefloor,no,0,0,27.71875,V,-0.01
20120521164435,noisefloor,no,0,0,27.75,V,-0.01
20120521164435,noisefloor,no,0,0,27.78125,V,-0.01
20120521164435,noisefloor,no,0,0,27.8125,V,-0.01
20120521164435,noisefloor,no,0,0,27.84375,V,-0.01
20120521164435,noisefloor,no,0,0,27.875,V,-0.01
20120521164435,noisefloor,no,0,0,27.90625,V,-0.01
20120521164435,noisefloor,no,0,0,27.9375,V,-0.01
20120521164435,noisefloor,no,0,0,27.96875,V,-0.01
20120521164435,noisefloor,no,0,0,28.0,V,-0.01
20120521164435,noisefloor,no,0,0,28.03125,V,-0.01
20120521164435,noisefloor,no,0,0,28.0625,V,-0.01
20120521164435,noisefloor,no,0,0,28.09375,V,-0.01
20120521164435,noisefloor,no,0,0,28.125,V,-0.01
20120521164435,noisefloor,no,0,0,28.15625,V,-0.01
20120521164435,noisefloor,no,0,0,28.1875,V,-0.01
20120521164435,noisefloor,no,0,0,28.21875,V,-0.01
20120521164435,noisefloor,no,0,0,28.25,V,-0.01
20120521164435,noisefloor,no,0,0,28.28125,V,-0.01
20120521164435,noisefloor,no,0,0,28.3125,V,-0.01
20120521164435,noisefloor,no,0,0,28.34375,V,-0.01
20120521164435,noisefloor,no,0,0,28.375,V,-0.01
20120521164435,noisefloor,no,0,0,28.40625,V,-0.01
20120521164435,noisefloor,no,0,0,28.4375,V,-0.01
20120521164435,noisefloor,no,0,0,28.46875,V,-0.01
20120521164435,noisefloor,no,0,0,28.5,V,-0.01
20120521164435,noisefloor,no,0,0,28.53125,V,-0.01
20120521164435,noisefloor,no,0,0,28.5625,V,-0.01
20120521164435,noisefloor,no,0,0,28.59375,V,-0.01
20120521164435,noisefloor,no,0,0,28.625,V,-0.01
20120521164435,noisefloor,no,0,0,28.65625,V,-0.01
20120521164435,noisefloor,no,0,0,28.6875,V,-0.01
20120521164435,noisefloor,no,0,0,28.71875,V,-0.01
20120521164435,noisefloor,no,0,0,28.75,V,-0.01
20120521164435,noisefloor,no,0,0,28.78125,V,-0.01
20120521164435,noisefloor,no,0,0,28.8125,V,-0.01
20120521164435,noisefloor,no,0,0,28.84375,V,-0.01
20120521164435,noisefloor,no,0,0,28.875,V,-0.01
20120521164435,noisefloor,no,0,0,28.90625,V,-0.01
20120521164435,noisefloor,no,0,0,28.9375,V,-0.01
20120521164435,noisefloor,no,0,0,28.96875,V,-0.01
20120521164435,noisefloor,no,0,0,29.0,V,-0.01
20120521164435,noisefloor,no,0,0,29.03125,V,-0.01
20120521164435,noisefloor,no,0,0,29.0625,V,-0.01
20120521164435,noisefloor,no,0,0,29.09375,V,-0.01
20120521164435,noisefloor,no,0,0,29.125,V,-0.01
20120521164435,noisefloor,no,0,0,29.15625,V,-0.01
20120521164435,noisefloor,no,0,0,29.1875,V,-0.01
20120521164435,noisefloor,no,0,0,29.21875,V,-0.01
20120521164435,noisefloor,no,0,0,29.25,V,-0.01
20120521164435,noisefloor,no,0,0,29.28125,V,-0.01
20120521164435,noisefloor,no,0,0,29.3125,V,-0.01
20120521164435,noisefloor,no,0,0,29.34375,V,-0.01
20120521164435,noisefloor,no,0,0,29.375,V,-0.01
20120521164435,noisefloor,no,0,0,29.40625,V,-0.01
20120521164435,noisefloor,no,0,0,29.4375,V,-0.01
20120521164435,noisefloor,no,0,0,29.46875,V,-0.01
20120521164435,noisefloor,no,0,0,29.5,V,-0.01
20120521164435,noisefloor,no,0,0,29.53125,V,-0.01
20120521164435,noisefloor,no,0,0,29.5625,V,-0.01
20120521164435,noisefloor,no,0,0,29.59375,V,-0.01
20120521164435,noisefloor,no,0,0,29.625,V,-0.01
20120521164435,noisefloor,no,0,0,29.65625,V,-0.01
20120521164435,noisefloor,no,0,0,29.6875,V,-0.01
20120521164435,noisefloor,no,0,0,29.71875,V,-0.01
20120521164435,noisefloor,no,0,0,29.75,V,-0.01
20120521164435,noisefloor,no,0,0,29.78125,V,-0.01
20120521164435,noisefloor,no,0,0,29.8125,V,-0.01
20120521164435,noisefloor,no,0,0,29.84375,V,-0.01
20120521164435,noisefloor,no,0,0,29.875,V,-0.01
20120521164435,noisefloor,no,0,0,29.90625,V,-0.01
20120521164435,noisefloor,no,0,0,29.9375,V,-0.01
20120521164435,noisefloor,no,0,0,29.96875,V,-0.01
20120521164435,noisefloor,no,0,0,30.0,V,-0.01
20120521164435,noisefloor,no,0,0,30.03125,V,-0.01
20120521164435,noisefloor,no,0,0,30.0625,V,-0.01
20120521164435,noisefloor,no,0,0,30.09375,V,-0.01
20120521164435,noisefloor,no,0,0,30.125,V,-0.01
20120521164435,noisefloor,no,0,0,30.15625,V,-0.01
20120521164435,noisefloor,no,0,0,30.1875,V,-0.01
20120521164435,noisefloor,no,0,0,30.21875,V,-0.01
20120521164435,noisefloor,no,0,0,30.25,V,-0.01
20120521164435,noisefloor,no,0,0,30.28125,V,-0.01
20120521164435,noisefloor,no,0,0,30.3125,V,-0.01
20120521164435,noisefloor,no,0,0,30.34375,V,-0.01
20120521164435,noisefloor,no,0,0,30.375,V,-0.01
20120521164435,noisefloor,no,0,0,30.40625,V,-0.01
20120521164435,noisefloor,no,0,0,30.4375,V,-0.01
20120521164435,noisefloor,no,0,0,30.46875,V,-0.01
20120521164435,noisefloor,no,0,0,30.5,V,-0.01
20120521164435,noisefloor,no,0,0,30.53125,V,-0.01
20120521164435,noisefloor,no,0,0,30.5625,V,-0.01
20120521164435,noisefloor,no,0,0,30.59375,V,-0.01
20120521164435,noisefloor,no,0,0,30.625,V,-0.01
20120521164435,noisefloor,no,0,0,30.65625,V,-0.01
20120521164435,noisefloor,no,0,0,30.6875,V,-0.01
20120521164435,noisefloor,no,0,0,30.71875,V,-0.01
20120521164435,noisefloor,no,0,0,30.75,V,-0.01
20120521164435,noisefloor,no,0,0,30.78125,V,-0.01
20120521164435,noisefloor,no,0,0,30.8125,V,-0.01
20120521164435,noisefloor,no,0,0,30.84375,V,-0.01
20120521164435,noisefloor,no,0,0,30.875,V,-0.01
20120521164435,noisefloor,no,0,0,30.90625,V,-0.01
20120521164435,noisefloor,no,0,0,30.9375,V,-0.01
20120521164435,noisefloor,no,0,0,30.96875,V,-0.01
20120521164435,noisefloor,no,0,0,31.0,V,-0.01
20120521164435,noisefloor,no,0,0,31.03125,V,-0.01
20120521164435,noisefloor,no,0,0,31.0625,V,-0.01
20120521164435,noisefloor,no,0,0,31.09375,V,-0.01
20120521164435,noisefloor,no,0,0,31.125,V,-0.01
20120521164435,noisefloor,no,0,0,31.15625,V,-0.01
20120521164435,noisefloor,no,0,0,31.1875,V,-0.01
20120521164435,noisefloor,no,0,0,31.21875,V,-0.01
20120521164435,noisefloor,no,0,0,0.0,W,0.0
20120521164435,noisefloor,no,0,0,0.03125,W,0.0
20120521164435,noisefloor,no,0,0,0.0625,W,0.0
20120521164435,noisefloor,no,0,0,0.09375,W,0.0
20120521164435,noisefloor,no,0,0,0.125,W,0.0
20120521164435,noisefloor,no,0,0,0.15625,W,0.0
20120521164435,noisefloor,no,0,0,0.1875,W,0.0
20120521164435,noisefloor,no,0,0,0.21875,W,0.0
20120521164435,noisefloor,no,0,0,0.25,W,0.0
20120521164435,noisefloor,no,0,0,0.28125,W,0.0
20120521164435,noisefloor,no,0,0,0.3125,W,0.0
20120521164435,noisefloor,no,0,0,0.34375,W,0.0
20120521164435,noisefloor,no,0,0,0.375,W,0.0
20120521164435,noisefloor,no,0,0,0.40625,W,0.0
20120521164435,noisefloor,no,0,0,0.4375,W,0.0
20120521164435,noisefloor,no,0,0,0.46875,W,0.0
20120521164435,noisefloor,no,0,0,0.5,W,0.0
20120521164435,noisefloor,no,0,0,0.53125,W,0.0
20120521164435,noisefloor,no,0,0,0.5625,W,0.0
20120521164435,noisefloor,no,0,0,0.59375,W,0.0
20120521164435,noisefloor,no,0,0,0.625,W,0.0
20120521164435,noisefloor,no,0,0,0.65625,W,0.0
20120521164435,noisefloor,no,0,0,0.6875,W,0.0
20120521164435,noisefloor,no,0,0,0.71875,W,0.0
20120521164435,noisefloor,no,0,0,0.75,W,0.0
20120521164435,noisefloor,no,0,0,0.78125,W,0.0
20120521164435,noisefloor,no,0,0,0.8125,W,0.0
20120521164435,noisefloor,no,0,0,0.84375,W,0.0
20120521164435,noisefloor,no,0,0,0.875,W,0.0
20120521164435,noisefloor,no,0,0,0.90625,W,0.0
20120521164435,noisefloor,no,0,0,0.9375,W,0.0
20120521164435,noisefloor,no,0,0,0.96875,W,0.0
20120521164435,noisefloor,no,0,0,1.0,W,0.0
20120521164435,noisefloor,no,0,0,1.03125,W,0.0
20120521164435,noisefloor,no,0,0,1.0625,W,0.0
20120521164435,noisefloor,no,0,0,1.09375,W,0.0
20120521164435,noisefloor,no,0,0,1.125,W,0.0
20120521164435,noisefloor,no,0,0,1.15625,W,0.0
20120521164435,noisefloor,no,0,0,1.1875,W,0.0
20120521164435,noisefloor,no,0,0,1.21875,W,0.0
20120521164435,noisefloor,no,0,0,1.25,W,0.0
20120521164435,noisefloor,no,0,0,1.28125,W,0.0
20120521164435,noisefloor,no,0,0,1.3125,W,0.0
20120521164435,noisefloor,no,0,0,1.34375,W,0.0
20120521164435,noisefloor,no,0,0,1.375,W,0.0
20120521164435,noisefloor,no,0,0,1.40625,W,0.0
20120521164435,noisefloor,no,0,0,1.4375,W,0.0
20120521164435,noisefloor,no,0,0,1.46875,W,0.0
20120521164435,noisefloor,no,0,0,1.5,W,0.0
20120521164435,noisefloor,no,0,0,1.53125,W,0.0
20120521164435,noisefloor,no,0,0,1.5625,W,0.0
20120521164435,noisefloor,no,0,0,1.59375,W,0.0
20120521164435,noisefloor,no,0,0,1.625,W,0.0
20120521164435,noisefloor,no,0,0,1.65625,W,0.0
20120521164435,noisefloor,no,0,0,1.6875,W,0.0
20120521164435,noisefloor,no,0,0,1.71875,W,0.0
20120521164435,noisefloor,no,0,0,1.75,W,0.0
20120521164435,noisefloor,no,0,0,1.78125,W,0.0
20120521164435,noisefloor,no,0,0,1.8125,W,0.0
20120521164435,noisefloor,no,0,0,1.84375,W,0.0
20120521164435,noisefloor,no,0,0,1.875,W,0.0
20120521164435,noisefloor,no,0,0,1.90625,W,0.0
20120521164435,noisefloor,no,0,0,1.9375,W,0.0
20120521164435,noisefloor,no,0,0,1.96875,W,0.0
20120521164435,noisefloor,no,0,0,2.0,W,0.0
20120521164435,noisefloor,no,0,0,2.03125,W,0.0
20120521164435,noisefloor,no,0,0,2.0625,W,0.0
20120521164435,noisefloor,no,0,0,2.09375,W,0.0
20120521164435,noisefloor,no,0,0,2.125,W,0.0
20120521164435,noisefloor,no,0,0,2.15625,W,0.0
20120521164435,noisefloor,no,0,0,2.1875,W,0.0
20120521164435,noisefloor,no,0,0,2.21875,W,0.0
20120521164435,noisefloor,no,0,0,2.25,W,0.0
20120521164435,noisefloor,no,0,0,2.28125,W,0.0
20120521164435,noisefloor,no,0,0,2.3125,W,0.0
20120521164435,noisefloor,no,0,0,2.34375,W,0.0
20120521164435,noisefloor,no,0,0,2.375,W,0.0
20120521164435,noisefloor,no,0,0,2.40625,W,0.0
20120521164435,noisefloor,no,0,0,2.4375,W,0.0
20120521164435,noisefloor,no,0,0,2.46875,W,0.0
20120521164435,noisefloor,no,0,0,2.5,W,0.0
20120521164435,noisefloor,no,0,0,2.53125,W,0.0
20120521164435,noisefloor,no,0,0,2.5625,W,0.0
20120521164435,noisefloor,no,0,0,2.59375,W,0.0
20120521164435,noisefloor,no,0,0,2.625,W,0.0
20120521164435,noisefloor,no,0,0,2.65625,W,0.0
20120521164435,noisefloor,no,0,0,2.6875,W,0.0
20120521164435,noisefloor,no,0,0,2.71875,W,0.0
20120521164435,noisefloor,no,0,0,2.75,W,0.0
20120521164435,noisefloor,no,0,0,2.78125,W,0.0
20120521164435,noisefloor,no,0,0,2.8125,W,0.0
20120521164435,noisefloor,no,0,0,2.84375,W,0.0
20120521164435,noisefloor,no,0,0,2.875,W,0.0
20120521164435,noisefloor,no,0,0,2.90625,W,0.0
20120521164435,noisefloor,no,0,0,2.9375,W,0.0
20120521164435,noisefloor,no,0,0,2.96875,W,0.0
20120521164435,noisefloor,no,0,0,3.0,W,0.0
20120521164435,noisefloor,no,0,0,3.03125,W,0.0
20120521164435,noisefloor,no,0,0,3.0625,W,0.0
20120521164435,noisefloor,no,0,0,3.09375,W,0.0
20120521164435,noisefloor,no,0,0,3.125,W,0.0
20120521164435,noisefloor,no,0,0,3.15625,W,0.0
20120521164435,noisefloor,no,0,0,3.1875,W,0.0
20120521164435,noisefloor,no,0,0,3.21875,W,0.0
20120521164435,noisefloor,no,0,0,3.25,W,0.0
20120521164435,noisefloor,no,0,0,3.28125,W,0.0
20120521164435,noisefloor,no,0,0,3.3125,W,0.0
20120521164435,noisefloor,no,0,0,3.34375,W,0.0
20120521164435,noisefloor,no,0,0,3.375,W,0.0
20120521164435,noisefloor,no,0,0,3.40625,W,0.0
20120521164435,noisefloor,no,0,0,3.4375,W,0.0
20120521164435,noisefloor,no,0,0,3.46875,W,0.0
20120521164435,noisefloor,no,0,0,3.5,W,0.0
20120521164435,noisefloor,no,0,0,3.53125,W,0.0
20120521164435,noisefloor,no,0,0,3.5625,W,0.0
20120521164435,noisefloor,no,0,0,3.59375,W,0.0
20120521164435,noisefloor,no,0,0,3.625,W,0.0
20120521164435,noisefloor,no,0,0,3.65625,W,0.0
20120521164435,noisefloor,no,0,0,3.6875,W,0.0
20120521164435,noisefloor,no,0,0,3.71875,W,0.0
20120521164435,noisefloor,no,0,0,3.75,W,0.0
20120521164435,noisefloor,no,0,0,3.78125,W,0.0
20120521164435,noisefloor,no,0,0,3.8125,W,0.0
20120521164435,noisefloor,no,0,0,3.84375,W,0.0
20120521164435,noisefloor,no,0,0,3.875,W,0.0
20120521164435,noisefloor,no,0,0,3.90625,W,0.0
20120521164435,noisefloor,no,0,0,3.9375,W,0.0
20120521164435,noisefloor,no,0,0,3.96875,W,0.0
20120521164435,noisefloor,no,0,0,4.0,W,0.0
20120521164435,noisefloor,no,0,0,4.03125,W,0.0
20120521164435,noisefloor,no,0,0,4.0625,W,0.0
20120521164435,noisefloor,no,0,0,4.09375,W,0.0
20120521164435,noisefloor,no,0,0,4.125,W,0.0
20120521164435,noisefloor,no,0,0,4.15625,W,0.0
20120521164435,noisefloor,no,0,0,4.1875,W,0.0
20120521164435,noisefloor,no,0,0,4.21875,W,0.0
20120521164435,noisefloor,no,0,0,4.25,W,0.0
20120521164435,noisefloor,no,0,0,4.28125,W,0.0
20120521164435,noisefloor,no,0,0,4.3125,W,0.0
20120521164435,noisefloor,no,0,0,4.34375,W,0.0
20120521164435,noisefloor,no,0,0,4.375,W,0.0
20120521164435,noisefloor,no,0,0,4.40625,W,0.0
20120521164435,noisefloor,no,0,0,4.4375,W,0.0
20120521164435,noisefloor,no,0,0,4.46875,W,0.0
20120521164435,noisefloor,no,0,0,4.5,W,0.0
20120521164435,noisefloor,no,0,0,4.53125,W,0.0
20120521164435,noisefloor,no,0,0,4.5625,W,0.0
20120521164435,noisefloor,no,0,0,4.59375,W,0.0
20120521164435,noisefloor,no,0,0,4.625,W,0.0
20120521164435,noisefloor,no,0,0,4.65625,W,0.0
20120521164435,noisefloor,no,0,0,4.6875,W,0.0
20120521164435,noisefloor,no,0,0,4.71875,W,0.0
20120521164435,noisefloor,no,0,0,4.75,W,0.0
20120521164435,noisefloor,no,0,0,4.78125,W,0.0
20120521164435,noisefloor,no,0,0,4.8125,W,0.0
20120521164435,noisefloor,no,0,0,4.84375,W,0.0
20120521164435,noisefloor,no,0,0,4.875,W,0.0
20120521164435,noisefloor,no,0,0,4.90625,W,0.0
20120521164435,noisefloor,no,0,0,4.9375,W,0.0
20120521164435,noisefloor,no,0,0,4.96875,W,0.0
20120521164435,noisefloor,no,0,0,5.0,W,0.0
20120521164435,noisefloor,no,0,0,5.03125,W,0.0
20120521164435,noisefloor,no,0,0,5.0625,W,0.0
20120521164435,noisefloor,no,0,0,5.09375,W,0.0
20120521164435,noisefloor,no,0,0,5.125,W,0.0
20120521164435,noisefloor,no,0,0,5.15625,W,0.0
20120521164435,noisefloor,no,0,0,5.1875,W,0.0
20120521164435,noisefloor,no,0,0,5.21875,W,0.0
20120521164435,noisefloor,no,0,0,5.25,W,0.0
20120521164435,noisefloor,no,0,0,5.28125,W,0.0
20120521164435,noisefloor,no,0,0,5.3125,W,0.0
20120521164435,noisefloor,no,0,0,5.34375,W,0.0
20120521164435,noisefloor,no,0,0,5.375,W,0.0
20120521164435,noisefloor,no,0,0,5.40625,W,0.0
20120521164435,noisefloor,no,0,0,5.4375,W,0.0
20120521164435,noisefloor,no,0,0,5.46875,W,0.0
20120521164435,noisefloor,no,0,0,5.5,W,0.0
20120521164435,noisefloor,no,0,0,5.53125,W,0.0
20120521164435,noisefloor,no,0,0,5.5625,W,0.0
20120521164435,noisefloor,no,0,0,5.59375,W,0.0
20120521164435,noisefloor,no,0,0,5.625,W,0.0
20120521164435,noisefloor,no,0,0,5.65625,W,0.0
20120521164435,noisefloor,no,0,0,5.6875,W,0.0
20120521164435,noisefloor,no,0,0,5.71875,W,0.0
20120521164435,noisefloor,no,0,0,5.75,W,0.0
20120521164435,noisefloor,no,0,0,5.78125,W,0.0
20120521164435,noisefloor,no,0,0,5.8125,W,0.0
20120521164435,noisefloor,no,0,0,5.84375,W,0.0
20120521164435,noisefloor,no,0,0,5.875,W,0.0
20120521164435,noisefloor,no,0,0,5.90625,W,0.0
20120521164435,noisefloor,no,0,0,5.9375,W,0.0
20120521164435,noisefloor,no,0,0,5.96875,W,0.0
20120521164435,noisefloor,no,0,0,6.0,W,0.0
20120521164435,noisefloor,no,0,0,6.03125,W,0.0
20120521164435,noisefloor,no,0,0,6.0625,W,0.0
20120521164435,noisefloor,no,0,0,6.09375,W,0.0
20120521164435,noisefloor,no,0,0,6.125,W,0.0
20120521164435,noisefloor,no,0,0,6.15625,W,0.0
20120521164435,noisefloor,no,0,0,6.1875,W,0.0
20120521164435,noisefloor,no,0,0,6.21875,W,0.0
20120521164435,noisefloor,no,0,0,6.25,W,0.0
20120521164435,noisefloor,no,0,0,6.28125,W,0.0
20120521164435,noisefloor,no,0,0,6.3125,W,0.0
20120521164435,noisefloor,no,0,0,6.34375,W,0.0
20120521164435,noisefloor,no,0,0,6.375,W,0.0
20120521164435,noisefloor,no,0,0,6.40625,W,0.0
20120521164435,noisefloor,no,0,0,6.4375,W,0.0
20120521164435,noisefloor,no,0,0,6.46875,W,0.0
20120521164435,noisefloor,no,0,0,6.5,W,0.0
20120521164435,noisefloor,no,0,0,6.53125,W,0.0
20120521164435,noisefloor,no,0,0,6.5625,W,0.0
20120521164435,noisefloor,no,0,0,6.59375,W,0.0
20120521164435,noisefloor,no,0,0,6.625,W,0.0
20120521164435,noisefloor,no,0,0,6.65625,W,0.0
20120521164435,noisefloor,no,0,0,6.6875,W,0.0
20120521164435,noisefloor,no,0,0,6.71875,W,0.0
20120521164435,noisefloor,no,0,0,6.75,W,0.0
20120521164435,noisefloor,no,0,0,6.78125,W,0.0
20120521164435,noisefloor,no,0,0,6.8125,W,0.0
20120521164435,noisefloor,no,0,0,6.84375,W,0.0
20120521164435,noisefloor,no,0,0,6.875,W,0.0
20120521164435,noisefloor,no,0,0,6.90625,W,0.0
20120521164435,noisefloor,no,0,0,6.9375,W,0.0
